"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL360055";"GALLAMINE";"GALLAMINE|Gallamine";"";"4.0";"Davis And Geck Div American Cyanamid Co";"";"";"";"";"1982";"M03AC02";"M03AC - Other quaternary ammonium compounds";"M03A - MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS";"M03 - MUSCLE RELAXANTS";"M - MUSCULO-SKELETAL SYSTEM";"Neuromuscular Blocking Agent";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"1";"0";"0";"Discontinued";"CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC"
"CHEMBL185073";"PANCURONIUM";"PANCURONIUM|Pancuronium|Pavulon";"";"4.0";"Igi Laboratories Inc|Hospira Inc|Dr Reddys Laboratories Ltd|Organon Usa Inc|Elkins Sinn Div Ah Robins Co Inc";"'-ium; -onium'";"1971";"quaternary ammonium derivatives: neuromuscular blocking agents; quaternary ammonium derivatives: neuromuscular blocking agents";"'-ium(-ium (-curonium)); -onium(-onium (-curonium))'";"1972";"M03AC01";"M03AC - Other quaternary ammonium compounds";"M03A - MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS";"M03 - MUSCLE RELAXANTS";"M - MUSCULO-SKELETAL SYSTEM";"Neuromuscular Blocking Agent";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1"
"CHEMBL285802";"ZOTEPINE";"NIPOLEPT|SETOUS|ZOLEPTIL 100|ZOLEPTIL 25|ZOLEPTIL 50|ZOTEPIN|ZOTEPINE";"";"4.0";"";"'-pine'";"";"tricyclic compounds";"'-pine(-pine)'";"";"N05AX11";"N05AX - Other antipsychotics";"N05A - ANTIPSYCHOTICS";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21"
"CHEMBL1201460";"DALTEPARIN SODIUM";".ALPHA.-HEPARIN|B01AB04|BOXOL|DALTEPARIN|DALTEPARIN SODIUM|FR-860|FRAGMINE|Fragmin|HEPARIN FRAGMENT KABI 2165|KABI-2165|LOW LIQUEMINE|LOW-LIQUEMINE";"B01AB04|FR-860|HEPARIN FRAGMENT KABI 2165|KABI-2165";"4.0";"Pfizer Inc";"'-parin'";"1993";"heparin derivatives and low molecular weight (or depolymerized) heparins";"'-parin(-parin)'";"1994";"B01AB04";"B01AB - Heparin group";"B01A - ANTITHROMBOTIC AGENTS";"B01 - ANTITHROMBOTIC AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"Anticoagulant; Antithrombotic";"None";"3:Oligosaccharide";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"1";"Prescription Only";""
"CHEMBL1371";"CHLORZOXAZONE";"CHLORZOXAZONE|Chlorzoxazone|NSC-26189|PARAFON FORTE DSC|Paraflex|Parafon|Parafon Forte|Parafon-Forte|STRIFON FORTE DSC|Strifon";"NSC-26189";"4.0";"Sun Pharmaceutical Industries Inc|Watson Laboratories Inc|Novitium Pharma Llc|Ohm Laboratories Inc.|Rising Pharma Holdings Inc|Teva Pharmaceuticals Usa Inc|Aurobindo Pharma Ltd|Mayne Pharma Llc|Senores Pharmaceuticals Inc|Ferndale Laboratories Inc";"";"";"";"";"1958";"M03BB53 | M03BB03 | M03BB73";"M03BB - Oxazol, thiazine, and triazine derivatives | M03BB - Oxazol, thiazine, and triazine derivatives | M03BB - Oxazol, thiazine, and triazine derivatives";"M03B - MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS | M03B - MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS | M03B - MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS";"M03 - MUSCLE RELAXANTS | M03 - MUSCLE RELAXANTS | M03 - MUSCLE RELAXANTS";"M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM | M - MUSCULO-SKELETAL SYSTEM";"Relaxant (skeletal muscle)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"O=c1[nH]c2cc(Cl)ccc2o1"
"CHEMBL187709";"TRIPARANOL";"NSC-65345|TRIPARANOL|Triparanol";"NSC-65345";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Withdrawn";"CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1"
"CHEMBL1201342";"METHIXENE";"ATOSIL|METIXENE|Methixene";"";"4.0";"Novartis Pharmaceuticals Corp";"";"1964";"";"";"1982";"N04AA03";"N04AA - Tertiary amines";"N04A - ANTICHOLINERGIC AGENTS";"N04 - ANTI-PARKINSON DRUGS";"N - NERVOUS SYSTEM";"Relaxant (smooth muscle)";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Discontinued";"CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1"
"CHEMBL1377";"CHLOROGUANIDE";"CHLORGUANIDE|CHLOROGUANIDE|PROGUANIL|Proguanil";"";"4.0";"Glaxosmithkline|Glenmark Generics Ltd|Mylan Pharmaceuticals Inc";"";"2000";"";"";"2000";"P01BB01 | P01BB51";"P01BB - Biguanides | P01BB - Biguanides";"P01B - ANTIMALARIALS | P01B - ANTIMALARIALS";"P01 - ANTIPROTOZOALS | P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"0";"0";"0";"Prescription Only";"CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1"
"CHEMBL1382";"TOLTERODINE";"BLERONE XL|DETRUSITOL|DETRUSITOL XL|EFFLOSOMYL XL|INCONEX XL|KABI 2234|KABI-2234|MARIOSEA XL|NEDITOL XL|PREBLACON XL|SANTIZOR XL|TOLTERODINE|Tolterodine";"KABI 2234|KABI-2234";"4.0";"Apotex Corp|Athem Holdings Llc|Ajanta Pharma Ltd|Upjohn Us 2 Llc|Macleods Pharmaceuticals Ltd|Unique Pharmaceutical Laboratories A Division Of J.B. Chemicals And Pharmaceuticals Ltd|Hetero Labs Ltd Unit Iii|Amta Labs Ltd|Teva Pharmaceuticals Usa|Hetero Labs Ltd Unit V";"";"1997";"";"";"1998";"G04BD07";"G04BD - Drugs for urinary frequency and incontinence";"G04B - UROLOGICALS";"G04 - UROLOGICALS";"G - GENITO URINARY SYSTEM AND SEX HORMONES";"Anticholinergic";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1"
"CHEMBL426084";"SAMIDORPHAN";"ALKS 33|ALKS-33|ALKS-5461 COMPONENT SAMIDORPHAN|RDC-0313|RDC-0313-00|SAMIDORPHAN|Samidorphan";"ALKS 33|ALKS-33|ALKS-5461 COMPONENT SAMIDORPHAN|RDC-0313|RDC-0313-00";"4.0";"Alkermes Inc";"'-orphan'";"2011";"narcotic antagonists/agonists (morphinan derivatives)";"'-orphan(-orphan)'";"2021";"";"";"";"";"";"";"US-7262298-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3"
"CHEMBL1201748";"CABAZITAXEL";"CABAZITAXEL|CABAZITAXEL ACETONATE|JEVTANA|JEVTANA KIT|Jevtana|NSC-761432|TXD 258|TXD-258|XRP 6258|XRP-6258";"NSC-761432|TXD 258|TXD-258|XRP 6258|XRP-6258";"4.0";"Accord Healthcare Inc|Breckenridge Pharmaceutical Inc|Sanofi Aventis Us Inc";"'-taxel'";"2010";"antineoplastics, taxane derivatives";"'-taxel(-taxel)'";"2010";"L01CD04";"L01CD - Taxanes";"L01C - PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-7241907-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"1";"Prescription Only";"CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C"
"CHEMBL1908917";"FLUCICLOVINE";"FLUCICLOVINE";"";"4.0";"Blue Earth Diagnostics Ltd";"'-vin-'";"2015";"vinca alkaloids";"'-vin-(-vin-)'";"2016";"";"";"";"";"";"";"US-9387266-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"N[C@]1(C(=O)O)C[C@@H](F)C1"
"CHEMBL18442";"PLERIXAFOR";"AMD 3100|AMD3100|JM 3100|MOZOBIL|PLERIXAFOR|PLERIXAFOR HYDROCHLORIDE|PLERIXAFOR OCTAHYDROCHLORIDE|SID 791";"AMD 3100|AMD3100|JM 3100|SID 791";"4.0";"Genzyme Corp";"'-ixafor'";"2004";"CXCR receptor antagonists";"'-ixafor(-ixafor)'";"2008";"L03AX16";"L03AX - Other immunostimulants";"L03A - IMMUNOSTIMULANTS";"L03 - IMMUNOSTIMULANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-6987102-B2";"1:Synthetic Small Molecule";"0";"1";"Achiral Molecule";"0";"0";"1";"0";"0";"Prescription Only";"c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1"
"CHEMBL1201779";"BENZYLPENICILLOYL POLYLYSINE";"BENZYL PENICILLOYL-POLYLYSINE|BENZYLPENICILLOYL OCTA-L-LYSINE|BENZYLPENICILLOYL POLYLYSINE|BENZYLPENICILLOYL-POLYLYSINE|Benzylpenicilloyl polylysine|CILLIGEN|PENICILLOYL POLYLYSINE|Pre-Pen|TESTARPEN";"";"4.0";"Allerquest Llc";"";"";"";"";"1974";"";"";"";"";"";"Diagnostic Aid (penicillin sensitivity)";"None";"10:Polymer";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";""
"CHEMBL1201780";"CARGLUMIC ACID";"CARBAGLU|CARGLUMIC ACID|N-CARBAMYL-L-GLUTAMIC ACID|NSC-760124|OE 312|OE 312 (LABORATORY CODE DESIGNATION)|OE-312";"NSC-760124|OE 312|OE 312 (LABORATORY CODE DESIGNATION)|OE-312";"4.0";"Novitium Pharma Llc|Navinta Llc|Recordati Rare Diseases Inc";"";"2009";"";"";"2010";"A16AA05";"A16AA - Amino acids and derivatives";"A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS";"A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS";"A - ALIMENTARY TRACT AND METABOLISM";"";"None";"1:Synthetic Small Molecule";"1";"1";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"NC(=O)N[C@@H](CCC(=O)O)C(=O)O"
"CHEMBL1201822";"GALSULFASE";"ARGYPLASE|ARYLSULFATASE B GALSULFASE|Aryplase|GALSULFASE|N-ACETYLGALACTOSAMINE 4-SULFATASE|NAGLAZYME|NEGLAZYME";"";"4.0";"";"'-ase'";"2004";"enzymes";"'-ase(-ase)'";"2005";"A16AB08";"A16AB - Enzymes";"A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS";"A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS";"A - ALIMENTARY TRACT AND METABOLISM";"";"None";"2:Enzyme";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";""
"CHEMBL1201451";"ALBUMIN HUMAN";"ALBUMIN|ALBUMIN (BOVINE)|ALBUMIN (HUMAN)|ALBUMIN BOVINE|ALBUMIN HUMAN|ALBUMIN HUMAN. PLASMA-DERIVED|ALBUMIN MICROSPHERES, HUMAN|ALBUMIN TEST|ALBUMIN, BLOOD|ALBUMIN, BOVINE|ALBUMIN, HUMAN|ALBUMIN,HUMAN|ALBUMIN. PLASMA-DERIVED|ALBUMINAR-5|ALBUMISOL|ALBUTEIN|ALLERGEN: BOS D 6|BOVINE ALBUMIN|BOVINE SERUM ALBUMIN|BSA FOR PROTEIN QUANTITATION|BUMINATE|FRACTION V|HUMAN ALBUMIN|HUMAN SERUM ALBUMIN|NORMAL HUMAN SERUM ALBUMIN|Optison|PLASBUMIN|SERUM ALBUMIN|SERUM ALBUMIN BOVINE";"";"4.0";"Ge Healthcare";"";"";"";"";"1997";"B05AA01";"B05AA - Blood substitutes and plasma protein fractions";"B05A - BLOOD AND RELATED PRODUCTS";"B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS";"B - BLOOD AND BLOOD FORMING ORGANS";"Blood Volume Supporter";"None";"5:Oligopeptide";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";""
"CHEMBL1200866";"PERFLUBRON";"Imagent|N-PERFLUOROOCTYL BROMIDE|PERFLUBRON|PERFLUOROCAPRYLYL BROMIDE|PERFLUOROCTYL BROMIDE|PERFLUOROOCTYLBROMIDE|PFOB";"";"4.0";"Alliance Pharmaceutical Corp";"'perflu-'";"1991";"blood substitutes and/or diagnostics (perfluorochemicals)";"'perflu-(perflu-)'";"1993";"V08CX01";"V08CX - Other magnetic resonance imaging contrast media";"V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA";"V08 - CONTRAST MEDIA";"V - VARIOUS";"Blood Substitute";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br"
"CHEMBL1237066";"CALCIUM GLUCEPTATE";"CALCIUM GLUCEPTATE|CALCIUM GLUCOHEPTONATE|CALCIUM GLUCOHEPTONATE (1:2)|CALCIUM GLUCOHEPTONE|NSC-755885";"NSC-755885";"4.0";"Abbott Laboratories Pharmaceutical Products Div|Abraxis Pharmaceutical Products|Eli Lilly And Co";"";"";"";"";"";"A12AA10";"A12AA - Calcium";"A12A - CALCIUM";"A12 - MINERAL SUPPLEMENTS";"A - ALIMENTARY TRACT AND METABOLISM";"Replenisher (calcium)";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"1";"0";"0";"Discontinued";"O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]"
"CHEMBL2364639";"VALBENAZINE";"MT-5199|NBI-98854|VALBENAZINE";"NBI-98854";"4.0";"Neurocrine Biosciences Inc";"";"2013";"";"";"2017";"N07XX13";"N07XX - Other nervous system drugs";"N07X - OTHER NERVOUS SYSTEM DRUGS";"N07 - OTHER NERVOUS SYSTEM DRUGS";"N - NERVOUS SYSTEM";"";"US-8039627-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"1";"0";"0";"0";"Prescription Only";"COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2"
"CHEMBL2106939";"POLIHEXANIDE";"COSMOCIL CQ|LAVASEPT|MICROCARE MBG|POLIHEXANIDE|POLIHEXANIDE HYDROCHLORIDE|POLY(HEXAMETHYLENEBIGUANIDE)|POLYHEXAMETHYLENE BIGUANIDE|POLYHEXANIDE|PURISTA|VANTOCIL";"";"4.0";"";"";"";"";"";"";"D08AC05";"D08AC - Biguanides and amidines";"D08A - ANTISEPTICS AND DISINFECTANTS";"D08 - ANTISEPTICS AND DISINFECTANTS";"D - DERMATOLOGICALS";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCCCCCNC(=N)NC(=N)N"
"CHEMBL14053";"TRICHLOROACETIC ACID";"ACETIC ACID, TRICHLORO-|NSC-215204|TCAA|TRICHLOROACETATE|TRICHLOROACETIC ACID|Trichloroethanoic acid";"NSC-215204";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(O)C(Cl)(Cl)Cl"
"CHEMBL502135";"XYLOSE";"FEMA NO. 3606|NSC-122762|XYLOSE|Xylo-Pfan";"FEMA NO. 3606|NSC-122762";"4.0";"Savage Laboratories Inc Div Altana Inc|Lyne Laboratories Inc";"";"";"";"";"";"";"";"";"";"";"Diagnostic Aid (intestinal function determination)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Discontinued";"OC1OC[C@@H](O)[C@H](O)[C@H]1O"
"CHEMBL1681";"IODOHIPPURATE";"Iodohippurate";"";"4.0";"Bracco Diagnostics Inc|Mallinckrodt Medical Inc|Ge Healthcare|Pharmalucence Inc";"'io-'";"1963";"iodine-containing contrast media";"'io-(io-)'";"1984";"";"";"";"";"";"Diagnostic Aid (renal function determination); Radioactive Agent,Radioactive Agent,Radioactive Agent; Diagnostic Aid (renal function determination)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"1";"0";"0";"Discontinued";"O=C(O)CNC(=O)c1ccccc1I"
"CHEMBL978";"METHACHOLINE";"METHACHOLINE|METHACHOLINE CATION|METHACHOLINE ION|Methacholine|Provocholine";"";"4.0";"Methapharm Inc";"";"";"";"";"1986";"V04CX03";"V04CX - Other diagnostic agents";"V04C - OTHER DIAGNOSTIC AGENTS";"V04 - DIAGNOSTIC AGENTS";"V - VARIOUS";"Cholinergic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"1";"1";"Prescription Only";"CC(=O)OC(C)C[N+](C)(C)C"
"CHEMBL2367706";"SUCRALFATE";"Antepsin|Carafate|Sucralfate|Ulcerlmin";"";"4.0";"Nostrum Laboratories Inc|Teva Pharmaceuticals Usa Inc|Vistapharm Inc|Amneal Pharmaceuticals Of New York Llc|Amneal Pharmaceuticals Llc|Allergan Sales Llc";"";"1976";"";"";"1981";"";"";"";"";"";"Anti-Ulcerative (gastrointestinal)";"None";"-1:Unknown";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O.O[Al](O)O"
"CHEMBL277474";"ANTIPYRINE";"ANTIPYRINE|ANTIPYRINUM|Antipyrin|Antipyrine|NSC-7945|PHENAZONE|Phenazon";"NSC-7945";"4.0";"";"";"";"";"";"";"N02BB71 | S02DA03 | N02BB51 | N02BB01";"N02BB - Pyrazolones | S02DA - Analgesics and anesthetics | N02BB - Pyrazolones | N02BB - Pyrazolones";"N02B - OTHER ANALGESICS AND ANTIPYRETICS | S02D - OTHER OTOLOGICALS | N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS";"N02 - ANALGESICS | S02 - OTOLOGICALS | N02 - ANALGESICS | N02 - ANALGESICS";"N - NERVOUS SYSTEM | S - SENSORY ORGANS | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"Analgesic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cc(=O)n(-c2ccccc2)n1C"
"CHEMBL1676";"FLUTICASONE FUROATE";"ALLERMIST|ARNUITY ELLIPTA|AVAMYS|ENNHALE|FLONASE SENSIMIST ALLERGY RELIEF|FLUTICASONE FUROATE|FURAMIST|GSK 685 698|GSK-685968|GSK685968|GW-685698X|GW685698X|RELVAR ELLIPTA|TRELEGY ELLIPTA|Veramyst";"GSK 685 698|GSK-685968|GSK685968|GW-685698X|GW685698X";"4.0";"Glaxosmithkline Consumer Healthcare|Glaxo Group Ltd England Dba Glaxosmithkline|Glaxosmithkline|Glaxosmithkline Intellectual Property Development Ltd England";"";"2006";"";"";"2007";"R01AD12 | R03BA09";"R01AD - Corticosteroids | R03BA - Glucocorticoids";"R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | R03B - OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS";"R01 - NASAL PREPARATIONS | R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES";"R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM";"";"US-7439393-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Over the Counter";"C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF"
"CHEMBL112";"ACETAMINOPHEN";"ABDINE|ACETAMINOPHEN|ALVEDON|ANGIERS|APAP|Acephen|Acetaminophen|BIOCETAMOL|CALPOL|CALPOL SIX PLUS|CALPOL SIX PLUS FASTMELTS|CHILD LEMSIP|CUPANOL|DAFALGAN|DISPROL|DISPROL INFANT|DISPROL JNR|DISPROL PAED|DOLIPRANE|Datril|EFFERALGAN|FENNINGS|GALPAMOL|HEDEX|INFADROPS|Infants' Feverall|Injectapap|JUNIOR PARAPAED|MANDANOL|MEDINOL|MEDINOL FOR CHILDREN|MEDINOL OVER 6|MEDINOL UNDER 6|MEDISED PLAIN|MIRADOL|N-ACETYL-P-AMINOPHENOL|NSC-109028|NSC-3991|Neopap|OFIRMEV|P-HYDROXY-ACETANILID|PALDESIC|PANADOL|PANADOL ACTIFAST|PANADOL ACTIFAST SOLB|PANADOL ADVAN|PANADOL JNR|PANADOL OA|PANALEVE|PANALEVE 6 PLUS|PARACETAMOL|PARACETAMOLUM|PARAMIN|PARAPAED JNR|PARAPAED SIX PLUS|PARAVICT|PERFALGAN|PLACIDEX|Paracetamol|Phenaphen|RIMADOL|SALZONE|TIXYMOL|TRAMIL 500|Tylenol|VERMIDON";"NSC-109028|NSC-3991";"4.0";"Dava Pharmaceuticals Inc|Eywa Pharma Inc|Glaxosmithkline|Glaxosmithkline Consumer Healthcare Holdings Us Llc|Nesher Pharmaceuticals Usa Llc|Ranbaxy Laboratories Inc|Halsey Drug Co Inc|Watson Laboratories Inc|Genus Lifesciences Inc|Rhodes Pharmaceuticals Lp";"";"";"";"";"1968";"N02BE51 | N02BE01 | N02BE71";"N02BE - Anilides | N02BE - Anilides | N02BE - Anilides";"N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS";"N02 - ANALGESICS | N02 - ANALGESICS | N02 - ANALGESICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"Analgesic; Antipyretic";"US-7976870-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"1";"1";"1";"Over the Counter";"CC(=O)Nc1ccc(O)cc1"
"CHEMBL628";"PENTOXIFYLLINE";"BL 191|BL-191|C04AD03|NEOTREN MR|NSC-637086|NSC-758481|OXPENTIFYLLINE|OXYPENTIFYLLINE|PENTOXIFYLLINE|PENTOXIPHYLLIN|Pentoxil|TRENTAL 100|TRENTAL 400|Trental";"BL 191|BL-191|C04AD03|NSC-637086|NSC-758481";"4.0";"Apotex Inc|Pliva Inc An Indirect Wholly Owned Sub Of Teva Pharmaceuticals Usa Inc|Rising Pharma Holding Inc|Validus Pharmaceuticals Llc|Upsher Smith Laboratories Llc|Heritage Pharmaceuticals Inc Dba Avet Pharmaceuticals Inc|Ani Pharmaceuticals Inc|Valeant Pharmaceuticals North America Llc|Impax Laboratories Inc";"'-fylline'";"1976";"theophylline derivatives";"'-fylline(-fylline)'";"1984";"C04AD03";"C04AD - Purine derivatives";"C04A - PERIPHERAL VASODILATORS";"C04 - PERIPHERAL VASODILATORS";"C - CARDIOVASCULAR SYSTEM";"Vasodilator";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O"
"CHEMBL83668";"TOLNAFTATE";"Aftate|Dr. Scholl's Athlete's Foot Spray|MYCIL|NSC-233648|SCH 10144|SCH-10144|SEPARIN|TIMOPED|TINADERM|TINADERM PLUS|TINEAFAX|TOLNAFTATE|Tinactin|Tritin";"NSC-233648|SCH 10144|SCH-10144";"4.0";"";"";"1963";"";"";"";"D01AE18";"D01AE - Other antifungals for topical use";"D01A - ANTIFUNGALS FOR TOPICAL USE";"D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE";"D - DERMATOLOGICALS";"Antifungal";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1"
"CHEMBL2108806";"BEMIPARIN SODIUM";"BADYKET|BEMIPARIN SODIUM|HIBOR|ZIBOR|ZIVOR";"";"4.0";"";"'-parin'";"";"heparin derivatives and low molecular weight (or depolymerized) heparins";"'-parin(-parin)'";"";"";"";"";"";"";"";"None";"3:Oligosaccharide";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL2108813";"WAX, EMULSIFYING";"BUFF|COCONUT OIL|COCONUT OIL, UNHYDROGENATED|EMULFIN|EMULSIF|EMULSIFYING WAX|EPADERM|H.E.B.|LANETTE WAX|LANETTE WAX SX|OIL, COCONUT|OIL,COCNT|WAX, EMULSIFYING";"";"4.0";"";"";"";"";"";"";"";"";"";"";"";"Pharmaceutic Aid (stiffening agent); Pharmaceutic Aid (emulsifying agent)";"None";"-1:Unknown";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
